URL,Status,Note
http://localhost:8000/,200,
http://localhost:8000/assets/js/santis-sentinel.js,200,
http://localhost:8000/assets/js/santis-api.js,200,
http://localhost:8000/assets/js/santis-adaptive-quality.js,200,
http://localhost:8000/assets/js/santis-chameleon.js,200,
http://localhost:8000/assets/js/santis-persuader.js,200,
http://localhost:8000/assets/js/santis-v10-core.js,200,
http://localhost:8000/assets/js/santis-revenue-brain.js,200,
http://localhost:8000/assets/js/app.js,200,
http://localhost:8000/assets/css/editorial.css,200,
http://localhost:8000/assets/css/luxury_engine.css,200,
http://localhost:8000/assets/js/santis-language-sync.js,200,
http://localhost:8000/assets/js/santis-ai-chatbot.js,200,
http://localhost:8000/assets/js/santis-pixel-engine.js,200,
http://localhost:8000/assets/js/core/santis-idle-engine.js?v=27.0,200,
http://localhost:8000/assets/js/core/santis-gravity.js?v=28.0,200,
http://localhost:8000/assets/js/core/santis-kinetics.js?v=29.0,200,
http://localhost:8000/assets/js/core/santis_router.js,200,
http://localhost:8000/assets/js/core/santis_edge_os.js?v=15.6,200,
http://localhost:8000/assets/js/santis-telemetry.js?v=15.6,200,
http://localhost:8000/assets/js/core/santis-revenue-brain.js?v=31.0,200,
http://localhost:8000/assets/js/santis-score-engine.js?v=15.6,200,
http://localhost:8000/assets/js/core/santis-behavior-tracker.js?v=24.0,200,
http://localhost:8000/assets/data/santis_hotels.json?v=1772343610893,200,
http://localhost:8000/assets/js/core/santis-identity.js,200,
http://localhost:8000/assets/data/social.json,200,
http://localhost:8000/tr/index.html,200,
http://localhost:8000/assets/css/gallery.css,200,
http://localhost:8000/assets/css/style.css,200,
http://localhost:8000/assets/img/hero/santis_hero_main_v2.webp,200,
http://localhost:8000/assets/css/fonts.css,200,
http://localhost:8000/assets/css/modules/cards.css,200,
http://localhost:8000/assets/css/bento-grid.css,200,
http://localhost:8000/assets/css/modules/global-trends.css,200,
http://localhost:8000/assets/css/hero-slider.css,200,
http://localhost:8000/assets/css/modules/testimonials.css,200,
http://localhost:8000/assets/css/video-hero.css,200,
http://localhost:8000/assets/css/modules/sticky-booking.css,200,
http://localhost:8000/assets/css/concierge.css,200,
http://localhost:8000/assets/css/santis-soul.css,200,
http://localhost:8000/assets/css/santis-skeleton.css,200,
http://localhost:8000/assets/img/cards/hammam.webp,200,
http://localhost:8000/assets/css/modules/signature-cards.css,200,
http://localhost:8000/assets/js/perf-head.js,200,
http://localhost:8000/assets/js/santis-booking.js,200,
http://localhost:8000/assets/js/santis-ghost.js,200,
http://localhost:8000/assets/img/cards/santis_card_skincare_v1.webp,200,
http://localhost:8000/assets/img/cards/santis_card_massage_v1.webp,200,
http://localhost:8000/assets/img/cards/santis_card_skincare_cover.webp,200,
http://localhost:8000/assets/img/cards/santis_card_hammam_v1.webp,200,
http://localhost:8000/assets/js/santis-nav.js,200,
http://localhost:8000/assets/js/i18n-routes.js,200,
http://localhost:8000/assets/js/hreflang-injector.js,200,
http://localhost:8000/assets/js/hero-slider.js,200,
http://localhost:8000/assets/js/loader.js,200,
http://localhost:8000/assets/js/url-normalizer.js,200,
http://localhost:8000/assets/js/cms-image-loader.js,200,
http://localhost:8000/assets/js/routes.js,200,
http://localhost:8000/assets/js/loaders/data-bridge.js,200,
http://localhost:8000/assets/js/santis-atmosphere.js,200,
http://localhost:8000/assets/js/concierge-engine.js,200,
http://localhost:8000/assets/fonts/nuFvD-vYSZviVYUb_rj3ij__anPXJzDwcbmjWBN2PKebukDQ.ttf,200,
http://localhost:8000/assets/fonts/PlayfairDisplay-Regular.woff2,200,
